gene_symbol	Spearman_rho
RPL23	-0.082459272
RAB13	-0.082421096
UBE2T	-0.082402008
NUBPL	-0.082382921
EEF1AKMT1	-0.082382921
ANGPTL4	-0.082344745
NHP2	-0.082268394
KANSL1-AS1	-0.082249306
NF2	-0.082230218
ZXDC	-0.082153867
S100A13	-0.082096604
ALOX15B	-0.082096604
GAS8	-0.082058428
SLC25A41	-0.08203934
CYP2R1	-0.08203934
PP12613	-0.081962989
PHYHIP	-0.081924813
IMPG2	-0.081924813
ADRA1A	-0.081905726
CH17-340M24.3	-0.081791199
PGAM1P5	-0.081791199
RPS17	-0.081753023
CEP57L1	-0.081753023
MIA3	-0.081733936
CREB1	-0.081714848
RPL36	-0.081638497
NDUFAB1	-0.081600321
RPL26	-0.081562145
SEZ6L	-0.081543058
BCLAF1	-0.081543058
TPMT	-0.08152397
ACTN1	-0.08152397
VAT1L	-0.081504882
NUFIP1	-0.081504882
IPCEF1	-0.081504882
PNPLA3	-0.081485794
ZIK1	-0.081485794
SDHC	-0.081466706
SEC24B	-0.081466706
HAUS7	-0.081447619
RPL32	-0.081409443
DEPDC5	-0.081371267
TMEM208	-0.081314004
LRRC27	-0.081294916
MLLT3	-0.081294916
RPS2P32	-0.081275828
CHM	-0.081275828
GAST	-0.081218565
PRKAR1B	-0.081218565
AAGAB	-0.081218565
ABRAXAS2	-0.081199477
RELB	-0.081180389
ZSCAN1	-0.081123126
EXO5	-0.081123126
C1orf220	-0.081065863
APEH	-0.081008599
NDC1	-0.080989512
SMIM10L2B-AS1	-0.080874985
TANGO6	-0.080874985
ABHD8	-0.080874985
RBM15	-0.080817721
DCAF10	-0.080798634
ARMC2	-0.080779546
MED8	-0.080722282
PTPRN	-0.080684107
ZNF461	-0.080684107
NPDC1	-0.080665019
ACAT1	-0.080665019
LSM7	-0.080645931
GPR137B	-0.080607756
CYP4V2	-0.08056958
ATP6V0D1	-0.080550492
CENPM	-0.080416878
ECHS1	-0.080321439
ARVCF	-0.080302351
VCP	-0.080264175
TAF1B	-0.080264175
ACSS3	-0.080226
ARHGEF40	-0.080187824
MRPL46	-0.080187824
NBEAL2	-0.080168736
FOXP2	-0.080149649
IGFBP6	-0.080111473
CEP295	-0.080073297
POLR2L	-0.079996946
RHCE	-0.079958771
TNFSF13B	-0.079901507
GBAP1	-0.079882419
RMDN2	-0.079844244
ELOA	-0.079825156
KRTAP6-3	-0.079825156
NRAV	-0.079786981
SPATS2	-0.079748805
LIMCH1	-0.079748805
CLTCL1	-0.079710629
ZBTB10	-0.079672454
ABHD2	-0.079653366
OLFM2	-0.07961519
NF1	-0.079596103
LGMN	-0.079596103
TMEM184B	-0.079577015
PSTK	-0.079519751
RPS6KA4	-0.079481576
C2orf81	-0.079462488
LYPLAL1	-0.079424312
CABCOCO1	-0.079367049
ABCF1	-0.079347961
PPM1F	-0.079309786
HMGB3P1	-0.07927161
TMEM218	-0.079252522
KLRG1	-0.079252522
GORASP2	-0.079252522
GS1-124K5.11	-0.079214347
TACC1	-0.079214347
TTC13	-0.079195259
BAG2	-0.079176171
CTSH	-0.079176171
ZNF527	-0.079176171
ZDHHC3	-0.079157083
MAP3K20	-0.079080732
ELAC2	-0.079023469
MTREX	-0.079004381
NDUFB8	-0.078985293
COX7B	-0.078985293
CARD16	-0.078966205
FAM234B	-0.07892803
CDC42BPB	-0.078908942
DEPP1	-0.078908942
HSD17B6	-0.078908942
TECPR2	-0.078832591
MRPS35	-0.078794415
ATP7A	-0.078794415
LOC105376805	-0.078775327
PSMA5	-0.078775327
SUCLG1	-0.078737152
CFD	-0.078698976
REEP5	-0.078698976
LOC389831	-0.078641713
TEDC1	-0.078641713
R3HDM2	-0.078622625
CLIC5	-0.078546274
DNM1P50	-0.078527186
MCM6	-0.078508098
MIEF2	-0.07848901
DHX38	-0.078469923
LCE1C	-0.078450835
CHTOP	-0.078412659
ZRANB3	-0.078393572
SUGCT	-0.078393572
SRD5A3	-0.078355396
PFDN6	-0.078336308
RGS17	-0.07831722
CYCS	-0.078298133
ACSS1	-0.078240869
NEFL	-0.078202694
SLC38A6	-0.078202694
DENND1C	-0.078164518
TMEM182	-0.07814543
B3GAT2	-0.07814543
DCHS1	-0.078126342
MDGA1	-0.078088167
PRKAR2B	-0.078011816
TUNAR	-0.077992728
ZNF783	-0.07797364
SEC16A	-0.07797364
CCT2	-0.077954552
LYRM2	-0.077916377
IFI6	-0.077859113
B3GNTL1	-0.077840025
NDUFB6	-0.077820938
SPRED2	-0.07780185
ARL3	-0.07780185
PIKFYVE	-0.07780185
OAZ3	-0.077706411
PALMD	-0.077668235
ZFP91	-0.077649148
PITPNA	-0.077553709
HIKESHI	-0.077553709
LINC00672	-0.077515533
DVL3	-0.077515533
EGFL7	-0.077496445
CSNK1G1	-0.077381918
PIP4P1	-0.077305567
TSPYL5	-0.077286479
PPP4R3B	-0.077267392
MRGPRE	-0.077248304
KIF16B	-0.077133777
RPAP3	-0.077114689
TEX9	-0.07701925
PHTF1	-0.07701925
PDE7A	-0.07701925
SLC7A14	-0.07701925
CD38	-0.076981075
PARD3B	-0.076981075
PIN1	-0.076942899
TP53I3	-0.076866548
FAM172A	-0.076828372
ZNF827	-0.076828372
FRA10AC1	-0.076790197
ANKRD34A	-0.076752021
PABPC4	-0.076732933
COPRS	-0.076618407
C1orf52	-0.076599319
FABP3	-0.076522968
CCSER2	-0.076484792
MRPL9	-0.076427529
C14orf28	-0.076408441
CDC73	-0.076408441
HBG1	-0.076370265
STAU1	-0.076255739
ASAP2	-0.076122124
RNASE13	-0.076026685
ZNF280A	-0.076026685
AFF2	-0.076007597
ZMYND12	-0.075988509
DPH5	-0.075931246
NDRG4	-0.075912158
DRAM1	-0.075912158
ZNF575	-0.07589307
MANBAL	-0.075873983
ACOT4	-0.075854895
UQCC2	-0.075816719
COX7A2L	-0.075702193
MAP1S	-0.075683105
TXN2	-0.075683105
MIB1	-0.075625841
GAS7	-0.075587666
SH2B1	-0.075568578
QRICH1	-0.075530402
ACOT8	-0.075492227
SLC27A3	-0.075454051
ZNF174	-0.075415876
SLC22A18	-0.0753777
R3HCC1L	-0.075301349
FAM187B	-0.075301349
TMEM177	-0.075282261
SKP2	-0.075263173
FABP1	-0.075224998
SNAP91	-0.075224998
OCIAD2	-0.075129559
EMC1	-0.075091383
CRTC1	-0.075053208
CTPS1	-0.074976856
RPL3	-0.074976856
TIMP2	-0.074957769
CHCHD4	-0.074900505
SLC25A45	-0.074843242
NDUFS6	-0.074766891
USP9X	-0.074728715
ZNF777	-0.074728715
SSH1	-0.074690539
PPP1CA	-0.074671452
TMEM18	-0.074614188
DHRS4-AS1	-0.074614188
NAB1	-0.0745951
GCK	-0.074518749
CETN4P	-0.074461486
DNAJC12	-0.074461486
LINC02217	-0.07442331
OR10Q1	-0.07442331
SNUPN	-0.074404222
SOD3	-0.074385135
XRCC5	-0.074366047
PCED1B	-0.074346959
ATP5ME	-0.074346959
UQCR11	-0.074327871
DAPK1-IT1	-0.074327871
HDDC2	-0.074289696
RGS18	-0.074270608
ZC3H12B	-0.074213345
ZSWIM3	-0.074213345
FSD1	-0.074156081
HES7	-0.074136993
TMEM150C	-0.074098818
HACD4	-0.07407973
AMZ1	-0.07407973
NOXA1	-0.07407973
FLOT2	-0.074060642
LTBP4	-0.074041554
TCFL5	-0.074022467
CDH3	-0.073965203
BTBD2	-0.073946115
GPKOW	-0.073946115
TMEM87B	-0.073946115
AP1S2	-0.07390794
C4orf47	-0.073869764
DNAJC21	-0.073812501
SPACA9	-0.073793413
NEK11	-0.073793413
SNHG15	-0.07373615
ZNF503	-0.073697974
RPL18A	-0.073697974
VPS53	-0.073678886
ZNF780A	-0.073659799
NME4	-0.073659799
ITM2B	-0.073507096
HIPK1	-0.073468921
CLEC4A	-0.073354394
ENHO	-0.073354394
KLHL15	-0.073354394
IL17RD	-0.073335306
GAS5	-0.073239867
CDH18	-0.073163516
RHOBTB3	-0.073106252
CACNB1	-0.073087165
ZNF622	-0.073029901
TMEM205	-0.072991726
MYLK4	-0.072972638
LAMA2	-0.072934462
NEMP1	-0.072915375
LONP2	-0.072915375
TLDC1	-0.072877199
MRPS28	-0.072877199
SF1	-0.072839023
MAGIX	-0.072819936
CSGALNACT2	-0.07278176
TMEM126B	-0.07278176
ATE1	-0.07278176
GRB10	-0.072743584
AKR7A3	-0.072686321
COMMD5	-0.072514531
RIOX1	-0.072495443
MNAT1	-0.072419092
DUSP6	-0.072400004
SLC6A1	-0.072400004
GAN	-0.072380916
PPIL4	-0.072361828
STARD7-AS1	-0.072342741
CC2D2B	-0.072323653
TUBG1	-0.07226639
OR6C76	-0.072247302
RPA4	-0.072247302
FGF7P6	-0.072247302
C11orf74	-0.072228214
DECR2	-0.072209126
NSDHL	-0.072209126
JPH1	-0.072151863
CEP83	-0.072075512
NID2	-0.072018248
SS18L1	-0.072018248
SBF1P1	-0.07199916
TULP4	-0.07199916
IFT27	-0.07199916
DNAL1	-0.07199916
COLCA2	-0.07199916
JUN	-0.071960985
MOSPD2	-0.071941897
UTP11	-0.071922809
TMEM9B	-0.071922809
FBXO27	-0.071903721
C1orf61	-0.071903721
F3	-0.071846458
HRH3	-0.071789195
ADPGK	-0.071751019
CDC42	-0.071712843
MMP16	-0.071712843
DGKH	-0.071712843
AURKA	-0.071674668
SLC2A14	-0.07165558
C9orf116	-0.071617405
PRKCE	-0.071560141
FBL	-0.071502878
KLHL4	-0.071502878
USP27X	-0.071464702
STK17B	-0.071445614
R3HCC1	-0.071369263
LRP3	-0.071350175
ISCA2	-0.071331088
NMNAT1	-0.071273824
ORC3	-0.071273824
DHRS2	-0.071197473
DYM	-0.071197473
RAB22A	-0.071197473
RARS	-0.07114021
AKR7A2P1	-0.071082946
AMN1	-0.071063858
TRAPPC5	-0.071063858
SFRP1	-0.071044771
ZNF704	-0.071006595
PHF23	-0.070930244
LOC102723968	-0.070892068
RAPGEFL1	-0.070892068
NANP	-0.070872981
ANKRD46	-0.070853893
RHCG	-0.070834805
CCNF	-0.070815717
C1QTNF12	-0.070796629
EXOC3L2	-0.070739366
PYGO2	-0.07070119
SYCE3	-0.07070119
C11orf1	-0.070663015
ZNF525	-0.070586664
MAPKAP1	-0.070510312
LMAN2L	-0.070453049
ZFAS1	-0.070453049
SENP1	-0.070453049
PNKP	-0.070338522
ZNF660	-0.070262171
STXBP4	-0.070243083
SPATA20	-0.070166732
PDK1	-0.070052205
HIGD2B	-0.070033118
MPV17L2	-0.070033118
UBLCP1	-0.07001403
RAB11A	-0.069994942
YARS2	-0.069918591
ZNF816	-0.069880415
MTMR7	-0.069823152
ZNF598	-0.069765888
LDHA	-0.069727713
USP37	-0.069708625
ZBED8	-0.069708625
TMEM187	-0.069689537
FBXO11	-0.069670449
IL4R	-0.069613186
ERLIN2	-0.069575011
FXYD7	-0.069555923
HERC4	-0.069555923
LAMTOR3	-0.069517747
ANP32E	-0.069441396
PTRHD1	-0.069384133
MNDA	-0.069326869
USP34	-0.069326869
TTYH1	-0.069288694
CNTN6	-0.069250518
DEDD2	-0.069212342
CDK10	-0.069212342
PMS2	-0.069116903
HCFC1R1	-0.069116903
MED16	-0.069097816
PTN	-0.06905964
NCAN	-0.068964201
LRRC28	-0.068964201
PCDH15	-0.068926026
TCTE1	-0.068868762
ZNF628	-0.068868762
LCE5A	-0.068735148
TOPBP1	-0.068677884
CSNK2A2	-0.068658796
AK9	-0.068658796
CSPG4	-0.068639709
ZNF106	-0.068639709
DLD	-0.068582445
KANK1	-0.068582445
LINC02076	-0.06854427
HCFC2	-0.068506094
SRGAP3	-0.068467918
BCAP31	-0.068410655
SLC39A11	-0.068353392
SELENOT	-0.068353392
FDPS	-0.068315216
BICDL1	-0.068315216
SPHKAP	-0.068315216
AHCYL2	-0.068238865
ITGA3	-0.068200689
NRXN2	-0.068181602
TPBG	-0.068162514
ZNF345	-0.068143426
TRMT112	-0.06810525
USP42	-0.068067075
ICAM3	-0.068047987
GPS1	-0.067952548
RNF5P1	-0.06793346
VIM	-0.06793346
IGFBP3	-0.067914372
PORCN	-0.067857109
ZNF613	-0.067857109
GAS2L1P2	-0.067799846
ATOX1	-0.067780758
SACM1L	-0.067780758
TMEM74B	-0.067742582
EMC8	-0.067685319
KLHDC10	-0.067685319
HDGFL2	-0.067666231
C2orf76	-0.067608968
CYB5R3	-0.067608968
RAB3B	-0.067551704
ZMAT1	-0.067513529
ACSF3	-0.067494441
SLC39A9	-0.067475353
LOC101930085	-0.067437178
KLHDC2	-0.067399002
SCN7A	-0.067379914
ST3GAL1	-0.067379914
PRMT8	-0.067360826
SNTG1	-0.067341739
BTBD6	-0.067265387
ALG8	-0.067227212
IFITM10	-0.067208124
COL27A1	-0.067208124
NPR3	-0.067169948
FBXO28	-0.067150861
UBE2V2	-0.067150861
CYB5B	-0.067131773
FLJ33534	-0.067112685
LNP1	-0.067093597
C21orf33	-0.067074509
AGPAT5	-0.067074509
LRMDA	-0.067017246
C22orf46	-0.06697907
ZSWIM7	-0.066902719
PCNX3	-0.066883632
RTCA	-0.066883632
CXADRP2	-0.066864544
FAS	-0.066845456
RAD23A	-0.06680728
CD86	-0.066788193
LOXL3	-0.066788193
HAUS2	-0.066769105
CRHBP	-0.066750017
DYRK1B	-0.066750017
TMEM8A	-0.066692754
PHOX2A	-0.066692754
LARS2	-0.066616402
RANGAP1	-0.066597315
LOC105376064	-0.066597315
PPM1A	-0.066559139
PTPN5	-0.066482788
ZMYND15	-0.066482788
PSMB7	-0.066444612
LINC01094	-0.066406437
STK24	-0.066387349
LRRTM2	-0.066349173
ZNF569	-0.066330085
PSMF1	-0.066330085
PCSK1N	-0.066310998
ANG	-0.066272822
ROCK2	-0.066196471
GTF2H5	-0.066101032
GPR143	-0.066101032
LOC341056	-0.066081944
SLAMF7	-0.066043769
ZNF610	-0.06594833
MEI1	-0.065891066
ARHGDIB	-0.065891066
MRPS21	-0.065776539
EXOSC2	-0.0656811
SENP5	-0.065662013
VAPB	-0.065642925
SKIV2L	-0.065623837
TIMP1	-0.065604749
OST4	-0.065604749
ANAPC13	-0.065604749
FAM155B	-0.065528398
CD68	-0.06550931
RABAC1	-0.065471135
CPEB3	-0.065452047
TSR3	-0.065452047
LIN7C	-0.065413871
SOX5	-0.065394784
NGRN	-0.065394784
ARHGAP26	-0.065356608
RNF24	-0.06533752
MON1A	-0.065280257
ZNF716	-0.065261169
AGO4	-0.065203906
DUT	-0.06516573
RPL27A	-0.065146642
MORC4	-0.065108467
FZD2	-0.065070291
FAM114A2	-0.064955764
CASP6	-0.064898501
IL1B	-0.064879413
LOC101060091	-0.064879413
AIMP2	-0.064879413
MAPK8IP1P2	-0.064879413
LINC00680	-0.064860325
GOLGA6L10	-0.064841238
FABP5	-0.064783974
ZNF667	-0.064783974
AAMP	-0.064764886
PRKAG2	-0.064764886
ITGB1BP1	-0.064669447
HEYL	-0.064669447
PTS	-0.064631272
TMEM268	-0.064631272
CDKL2	-0.064497657
DNPEP	-0.064459482
ZNF671	-0.064440394
SPATA24	-0.064421306
SOX12	-0.064325867
GPATCH4	-0.064287691
YIPF2	-0.064287691
ZNF320	-0.064268604
GUCY1A2	-0.064192253
C19orf47	-0.064096814
CDIPT	-0.064077726
LHFPL6	-0.064077726
SCGB2B2	-0.064058638
NCDN	-0.06403955
PTH2	-0.06403955
NDUFAF5	-0.06403955
MEF2A	-0.064001375
CDC23	-0.063905936
PPARG	-0.063772321
FKBP10	-0.063772321
DHRS9	-0.063715058
LOC148413	-0.063715058
FAM84B	-0.06369597
PPME1	-0.06369597
KHDC1L	-0.063657794
TIRAP	-0.063657794
ITGAM	-0.063638706
PUM2	-0.063638706
CIB1	-0.06352418
TOP2B	-0.063505092
GCFC2	-0.063466916
ISYNA1	-0.063466916
TMEM47	-0.063466916
FAM50B	-0.063447829
ST13	-0.063390565
TRAPPC13	-0.06335239
DNAJC6	-0.063333302
CHN1	-0.063276038
HECW2	-0.063237863
TRA2B	-0.063218775
CDKN2AIP	-0.063180599
ZNF16	-0.063123336
CTAGE7P	-0.063123336
NYAP2	-0.063104248
NUP85	-0.063046985
ERI3	-0.062970634
SDK2	-0.062856107
PHF20	-0.062817931
ARHGAP27P2	-0.062798844
RIMS3	-0.062779756
CELF1	-0.062722492
ZNF512	-0.062722492
STK17A	-0.062627053
MARK1	-0.062627053
CRYBB2	-0.062588878
DLGAP1	-0.062588878
SCUBE2	-0.062493439
ZNF331	-0.062398
MRPL41	-0.062264385
GGCX	-0.062245297
DSE	-0.062245297
FAM86FP	-0.062207122
SSR2	-0.062188034
RPL9	-0.062168946
UBFD1	-0.062149859
RCN3	-0.062149859
CTSF	-0.062130771
RDH10	-0.062111683
CDH1	-0.062092595
UBN1	-0.061920805
CAPG	-0.061901717
RPS2	-0.061901717
GNA11	-0.061882629
PSAP	-0.061863542
FFAR4	-0.06178719
DUSP23	-0.06178719
THBD	-0.061672664
ATRIP	-0.061653576
CCR3	-0.061634488
HEBP1	-0.061596312
SETD5	-0.061596312
FADS1	-0.061596312
USP30	-0.061596312
GRID2	-0.061558137
LRRC7	-0.061539049
TBC1D9	-0.061500873
CALU	-0.061481786
RBM8A	-0.061462698
NMRK1	-0.061424522
GMFG	-0.061329083
SNRPD2	-0.061329083
DPYSL4	-0.061309996
MBNL3	-0.06127182
SCG5	-0.061252732
OSER1	-0.061157293
PPARA	-0.061138205
SLC25A44	-0.06110003
HRASLS	-0.061061854
ACAA2	-0.061061854
RRP36	-0.061004591
RFPL3S	-0.061004591
RPL10A	-0.06092824
TMEM132C	-0.06092824
CDK5	-0.060870976
SH3BP5L	-0.060851888
C12orf75	-0.06075645
PINK1	-0.060661011
SLC49A3	-0.060641923
ZNF518B	-0.060546484
LRIF1	-0.060508308
ZBED4	-0.060412869
BCHE	-0.060374694
FXR2	-0.06031743
ACBD3	-0.06031743
KLRC1	-0.060279255
NAGK	-0.060260167
PM20D2	-0.060241079
CIAO1	-0.060221991
HYOU1	-0.060164728
OPA1	-0.060069289
ZNF747	-0.060050201
SNRPB2	-0.060031113
PICSAR	-0.059992938
AGFG1	-0.05997385
HNRNPLL	-0.059954762
ARFIP1	-0.059935674
GADD45A	-0.059916587
PPP1R1C	-0.059916587
SLC25A3	-0.059840235
MYH15	-0.059744796
APBB3	-0.059725709
KIAA1586	-0.059668445
C16orf45	-0.059649357
TPP1	-0.059611182
RHBDL1	-0.059611182
TMSB4X	-0.059611182
AKR7L	-0.059592094
OAS1	-0.059573006
C2orf15	-0.059534831
ARHGEF3	-0.059496655
PCDH17	-0.059477567
RYBP	-0.059458479
FAM160A2	-0.059420304
CX3CR1	-0.059401216
VSIR	-0.059267602
MYMK	-0.059267602
LHFPL4	-0.059229426
SLC12A4	-0.059229426
EFCAB2	-0.059172163
FTL	-0.059133987
PEF1	-0.059114899
CIP2A	-0.059076724
LALBA	-0.058943109
TMOD2	-0.058904933
BOLA1	-0.058866758
ACSM1	-0.058809494
HEXA	-0.058771319
PEG10	-0.058771319
CHUK	-0.058752231
HSP90AA1	-0.058752231
MRPL51	-0.058694968
GRP	-0.058656792
TRAPPC2L	-0.058599529
CADM2	-0.058561353
NCBP2	-0.058561353
PLPP3	-0.058542265
JTB	-0.058523178
LY96	-0.058523178
PLEKHG5	-0.058465914
RPL34	-0.058446826
MFSD11	-0.058446826
PHPT1	-0.058408651
KLK15	-0.058313212
UNC119B	-0.058275036
CXXC5	-0.058255948
C7	-0.058198685
HDAC10	-0.058179597
CHD5	-0.058084158
NUP50	-0.058026895
DDX58	-0.058007807
GINS3	-0.057950544
HSBP1	-0.057912368
CHERP	-0.057759666
HERC5	-0.05772149
ZNF720	-0.057702402
MSN	-0.057683315
NFKBIL1	-0.057664227
LOC100506548	-0.057664227
CYP26B1	-0.057645139
SPATA2	-0.057587876
TPGS2	-0.057473349
CLCN3	-0.057454261
MYL6B	-0.05737791
CCDC71	-0.057339734
LOC729683	-0.057320647
JAML	-0.057320647
GTF2IRD2	-0.057320647
TSC1	-0.057301559
BNIPL	-0.057301559
PLCL2	-0.057244295
ADAMTSL3	-0.057225208
SLC37A4	-0.057225208
MPDZ	-0.057148856
KIF26A	-0.057091593
TMEM64	-0.057053417
VPS13B	-0.05703433
C1QC	-0.05703433
PI4KB	-0.057015242
LSMEM1	-0.056843452
NCOA2	-0.056805276
LINC02470	-0.056786188
AP2B1	-0.056786188
SAP18	-0.056786188
LRSAM1	-0.0567671
MYO16	-0.056633486
PIFO	-0.05659531
STUB1	-0.056576223
PIH1D1	-0.056576223
ICA1L	-0.056576223
SMIM7	-0.056518959
SIGIRR	-0.056518959
GATAD2B	-0.056480784
SEPHS2	-0.056480784
PLEKHA2	-0.056442608
RNF169	-0.056347169
UPF1	-0.056270818
ZNF346	-0.05625173
ATP5MC3	-0.056194467
BIN1	-0.056060852
RIMKLB	-0.056060852
MYOM2	-0.056041764
NFS1	-0.055984501
TTC9B	-0.055850886
SPDYE5	-0.055831799
ALDH1L2	-0.055774535
SUV39H1	-0.055717272
CHEK2P2	-0.055717272
SELENON	-0.055679096
FHL1	-0.055640921
CTSO	-0.055583657
LRRC75A	-0.055526394
SIVA1	-0.055488218
CD84	-0.055488218
USP19	-0.055488218
FSTL4	-0.055488218
STEAP2	-0.055411867
ALG10	-0.05529734
GFPT2	-0.055220989
OXSM	-0.055201901
ERI2	-0.055182814
KIF1A	-0.055144638
RPL35	-0.055087375
MYO5B	-0.055068287
COL13A1	-0.055068287
SH3BP5	-0.055049199
OR10V1	-0.055030111
SUMO1	-0.055030111
TLR4	-0.055011023
ITGA9	-0.054972848
SURF2	-0.05495376
SBDSP1	-0.054934672
NCAM1	-0.054934672
RGS19	-0.054743794
SNRK	-0.054724706
P3H2	-0.054705619
SYNPO2	-0.054686531
KIFC3	-0.054648355
FAM200A	-0.054648355
SLCO2A1	-0.054629268
WDR46	-0.054629268
PNP	-0.054572004
ZDHHC14	-0.054476565
MAPK8IP1	-0.054476565
UNC45A	-0.054457477
UGCG	-0.05443839
NKG7	-0.05443839
ASXL2	-0.05443839
HPR	-0.054381126
ZNF573	-0.054304775
SLC6A15	-0.054285687
GTDC1	-0.054247512
STX2	-0.054228424
TOMM6	-0.054190248
RNASE6	-0.054132985
A1BG	-0.054056634
DMAC2	-0.054056634
MAGOH	-0.054037546
CFAP20	-0.054018458
TXNL4A	-0.053980283
GORAB	-0.053961195
POC1A	-0.053923019
SNX16	-0.053884844
NPAS1	-0.053846668
NEURL1B	-0.05382758
PCGF5	-0.053770317
PARL	-0.053770317
GPR20	-0.053674878
BCL11B	-0.05365579
PKDCC	-0.053617614
DCTN1	-0.053579439
NRIP3	-0.053579439
TERF1	-0.053503088
UBR4	-0.053484
APBB1IP	-0.053464912
METTL26	-0.053464912
KCTD16	-0.053407649
IFI27L1	-0.053388561
PURG	-0.053388561
IGSF21	-0.053369473
NOL4L	-0.053369473
FAM228B	-0.053331297
BCKDHB	-0.05331221
EPM2AIP1	-0.053197683
FZD8	-0.053197683
IER3	-0.05314042
GGPS1	-0.053121332
LOC105378853	-0.053102244
DPYD	-0.053006805
ZNF304	-0.052987717
NSUN6	-0.052987717
LAMB2P1	-0.052911366
ABHD16A	-0.05287319
C2orf42	-0.05287319
CD2	-0.052815927
ID4	-0.052739576
SLC2A5	-0.052644137
CPAMD8	-0.052567786
ZNF460	-0.052567786
RARB	-0.05252961
TNFAIP8L2	-0.052491435
COL6A1	-0.052491435
GLIS3	-0.052472347
ADD3	-0.052472347
LINC00674	-0.052434171
GAK	-0.052434171
EAPP	-0.052434171
NDUFS5	-0.052415083
FGFR1OP	-0.052415083
PATE3	-0.05235782
TMEM88B	-0.052338732
PRELP	-0.052338732
NFIB	-0.052300557
THAP9-AS1	-0.052224205
RAB6A	-0.05218603
CABIN1	-0.052128766
RNF5	-0.052090591
RAPSN	-0.052071503
STXBP5	-0.052071503
UFD1	-0.052071503
USB1	-0.052071503
CNTN4	-0.052052415
RALA	-0.052033327
FAM9B	-0.051995152
ZNRF4	-0.051976064
PRKY	-0.051976064
LINC00507	-0.051956976
RGL1	-0.051918801
SREK1IP1	-0.051918801
PRIM2	-0.051899713
RNASEH2A	-0.051880625
TCTN1	-0.051823362
RPLP1	-0.051785186
KIAA1468	-0.051785186
FGFRL1	-0.051785186
CHCHD7	-0.051632484
OARD1	-0.051632484
RPL37	-0.051594308
SBNO1	-0.05157522
TSC22D3	-0.051556133
ZNF419	-0.051537045
PBLD	-0.051498869
EIF4EBP1	-0.051479781
CEP89	-0.05140343
LINC01881	-0.051384342
PCBP3	-0.051365255
LOC100505915	-0.051327079
CDK5R2	-0.05123164
GINS2	-0.05123164
FGF14	-0.05123164
ZC2HC1A	-0.051155289
TOMM5	-0.051136201
TRIR	-0.051136201
AP2A2	-0.051117113
DSEL	-0.051078938
SH2D3C	-0.05105985
UBP1	-0.050983499
ACAD8	-0.050983499
CSF1R	-0.050945323
WDR45B	-0.050945323
LINC01116	-0.050926235
ZNF214	-0.050926235
TMEM233	-0.050907148
PROCA1	-0.050868972
KCNE4	-0.050868972
FYB1	-0.050830796
DYNC1H1	-0.050792621
TLCD2	-0.050792621
TMEM132A	-0.050773533
PDLIM4	-0.050754445
PPP1CB	-0.050678094
BLNK	-0.050620831
LOC101928370	-0.050620831
AMACR	-0.050582655
TRIM23	-0.050582655
MAN1B1	-0.05054448
SMG7	-0.050525392
ALKBH4	-0.050525392
IL2RB	-0.050487216
ADAM20	-0.050468128
ZNF185	-0.050449041
TRIM22	-0.050296338
TM2D2	-0.050296338
RIOK1	-0.05027725
KCNJ8	-0.050258163
PART1	-0.050200899
ARHGAP4	-0.050181811
TLR3	-0.050162724
TM2D1	-0.050162724
GET4	-0.050124548
SLC24A4	-0.050124548
HTRA2	-0.05010546
ADCY3	-0.050086372
TMEM53	-0.050067285
EDC4	-0.050029109
MMAB	-0.050010021
CTXN3	-0.049876407
KBTBD4	-0.049838231
PNMA8B	-0.049800056
AKIRIN1	-0.049800056
PCSK2	-0.049742792
SLC1A3	-0.049742792
ULK2	-0.049704617
GAREM2	-0.049685529
ANKRD20A11P	-0.049685529
RABIF	-0.049628265
RSBN1L	-0.049628265
TAX1BP1	-0.049571002
CALCRL	-0.049532826
M6PR	-0.049513739
CPSF6	-0.049494651
MAGT1	-0.049475563
LOC344967	-0.049437387
BORCS6	-0.0494183
EFHD2	-0.049380124
PPP1R17	-0.049322861
MARCO	-0.049284685
KHDC1	-0.049284685
CHD1	-0.049284685
C1QTNF3	-0.049265597
FBXL15	-0.04924651
HNRNPA2B1	-0.049208334
PTGIS	-0.049131983
STT3B	-0.049093807
L3MBTL3	-0.049055632
PREPL	-0.049017456
EXOSC9	-0.048960193
NRN1	-0.048941105
VBP1	-0.048902929
CYP2E1	-0.048883841
ADAMTS10	-0.048864754
TMEM80	-0.048826578
SPX	-0.048826578
PGK1	-0.048769315
BCORL1	-0.048750227
CDC123	-0.048712051
ZNF254	-0.048712051
RNASET2	-0.048692963
MDH1	-0.048654788
CAPNS2	-0.0486357
GATM	-0.048502086
COX4I1	-0.048482998
LOC400710	-0.04846391
SPRY4	-0.048444822
ZNF674	-0.048425734
TTC23L	-0.048406647
VGLL4	-0.048406647
FAR2P2	-0.048387559
SDHAF1	-0.048387559
LIPC	-0.048387559
TTC33	-0.048368471
CAPN10	-0.048158505
LOC101927752	-0.048158505
FCN3	-0.048101242
ADM5	-0.048063066
ZNF438	-0.048063066
FAHD1	-0.048063066
TRIM37	-0.048024891
TRAK1	-0.047967627
CCDC107	-0.047891276
ASGR1	-0.047853101
ESYT1	-0.047795837
ZNF319	-0.047738574
SBF2	-0.047719486
FLAD1	-0.047700398
INPP5K	-0.04768131
NXN	-0.047662223
ZNF83	-0.047662223
CNPY2	-0.047643135
